backend,benchmark,qubits,layers,run_index,warmup,wall_ms,cpu_s,state_size
lightning.qubit,ghz,26,,2,False,1316.910026000187,1.3144683399999622,67108864
lightning.qubit,ghz,26,,3,False,1323.3561059996646,1.3208517770000299,67108864
lightning.qubit,ghz,28,,0,True,7866.41882899994,7.84827352100001,268435456
lightning.qubit,ghz,28,,1,False,5569.715626999823,5.537478567999983,268435456
lightning.qubit,ghz,28,,2,False,5720.544729000267,5.709297322999987,268435456
lightning.qubit,ghz,28,,3,False,5552.03622099998,5.530225982999923,268435456
lightning.qubit,grover_proxy,15,,0,True,5.176318999929208,0.0034173310000369383,32768
lightning.qubit,grover_proxy,15,,1,False,4.736453000077745,0.002573950000055447,32768
lightning.qubit,grover_proxy,15,,2,False,3.6697929999718326,0.002434927999956926,32768
lightning.qubit,grover_proxy,15,,3,False,3.1457350000891893,0.0021694670000442784,32768
lightning.qubit,grover_proxy,20,,0,True,88.53166300013982,0.08734509799990064,1048576
lightning.qubit,grover_proxy,20,,1,False,90.33340299993142,0.08774285499998769,1048576
lightning.qubit,grover_proxy,20,,2,False,84.8321409998789,0.0818936240000312,1048576
lightning.qubit,grover_proxy,20,,3,False,82.42476000032184,0.08109187900004144,1048576
lightning.qubit,grover_proxy,24,,0,True,2222.8423070000645,2.220786182999973,16777216
lightning.qubit,grover_proxy,24,,1,False,2209.8782329999267,2.2077722490000724,16777216
lightning.qubit,grover_proxy,24,,2,False,2237.720700999944,2.235022527000069,16777216
lightning.qubit,grover_proxy,24,,3,False,2272.897302000274,2.266629404000014,16777216
lightning.qubit,grover_proxy,26,,0,True,9853.18697699995,9.803972238999904,67108864
lightning.qubit,grover_proxy,26,,1,False,9739.202234000004,9.732891906999953,67108864
lightning.qubit,grover_proxy,26,,2,False,9862.812798999585,9.851110696999967,67108864
lightning.qubit,grover_proxy,26,,3,False,9613.451223999618,9.58631013799993,67108864
lightning.qubit,grover_proxy,28,,0,True,44133.45799400031,44.10363237199999,268435456
lightning.qubit,grover_proxy,28,,1,False,42357.841220999944,42.30410382000002,268435456
lightning.qubit,grover_proxy,28,,2,False,41735.94824100019,41.66093389299999,268435456
lightning.qubit,grover_proxy,28,,3,False,41632.420700000235,41.548840920999965,268435456
lightning.qubit,phase_estimation,15,,0,True,8.357164999324596,0.00657491200001914,32768
lightning.qubit,phase_estimation,15,,1,False,6.785298000067996,0.005664321000040218,32768
lightning.qubit,phase_estimation,15,,2,False,6.318664999525936,0.005201747000000978,32768
lightning.qubit,phase_estimation,15,,3,False,6.623857000704447,0.005430437999962123,32768
lightning.qubit,phase_estimation,20,,0,True,108.68435199972737,0.10757674699993913,1048576
lightning.qubit,phase_estimation,20,,1,False,102.03279699999257,0.10071876199992857,1048576
lightning.qubit,phase_estimation,20,,2,False,104.9316729995553,0.10289946800003236,1048576
lightning.qubit,phase_estimation,20,,3,False,105.5215730002601,0.10399532700000691,1048576
lightning.qubit,phase_estimation,24,,0,True,3403.8114109998787,3.3958955210000568,16777216
lightning.qubit,phase_estimation,24,,1,False,3398.9664219998303,3.386991993000038,16777216
lightning.qubit,phase_estimation,24,,2,False,3500.3843380000035,3.4868975969999383,16777216
lightning.qubit,phase_estimation,24,,3,False,3406.18922899921,3.3996048410000412,16777216
lightning.qubit,phase_estimation,26,,0,True,15421.64935999972,15.375996271000076,67108864
lightning.qubit,phase_estimation,26,,1,False,15240.327012000307,15.226701572000024,67108864
lightning.qubit,phase_estimation,26,,2,False,15152.771475000009,15.128647400999967,67108864
lightning.qubit,phase_estimation,26,,3,False,15147.494457999528,15.126467171000058,67108864
lightning.qubit,phase_estimation,28,,0,True,68387.32154199987,68.37407416099995,268435456
lightning.qubit,phase_estimation,28,,1,False,68021.69859700007,67.92574681099995,268435456
lightning.qubit,phase_estimation,28,,2,False,68971.28034399975,68.906562764,268435456
lightning.qubit,phase_estimation,28,,3,False,68857.27014800068,68.758202665,268435456
lightning.qubit,tfim_trotter,15,,0,True,21.94921400041494,0.014156458999877941,32768
lightning.qubit,tfim_trotter,15,,1,False,16.38107700000546,0.014238580999972328,32768
lightning.qubit,tfim_trotter,15,,2,False,14.30125400020188,0.013213665999955992,32768
lightning.qubit,tfim_trotter,15,,3,False,18.545244000051753,0.016812285000014526,32768
lightning.qubit,tfim_trotter,20,,0,True,524.5323500002996,0.5223620219999248,1048576
lightning.qubit,tfim_trotter,20,,1,False,526.9094590003078,0.5248789669999496,1048576
lightning.qubit,tfim_trotter,20,,2,False,510.63682600033644,0.5090406929998608,1048576
