workload,qubits,backend,mean_ms,ci95_ms,backend_over_mettleq,result_contract
qaoa_ring,24,Qiskit Aer statevector CPU,1084.7491816666661,37.22803310035314,6.7164671365125,synchronized full state
qaoa_ring,24,PennyLane Lightning CPU,3853.3508139998958,73.56981697612159,23.858883274674792,synchronized full state
qaoa_ring,26,MettleQ Metal,598.0004446658617,7.121743063034334,1.0,synchronized full state
qaoa_ring,26,CUDA-Q NVIDIA GPU,160.2644696667994,2.3198443443795553,0.2680005861138593,synchronized full state
qaoa_ring,26,PennyLane Lightning GPU,1551.7686256665304,25.293576675494197,2.5949288825923795,synchronized full state
qaoa_ring,26,Qiskit Aer statevector CPU,4158.591839333326,92.20850743427232,6.954161784372883,synchronized full state
qaoa_ring,26,PennyLane Lightning CPU,16134.161072000097,81.06768748248032,26.98018239938803,synchronized full state
qaoa_ring,28,MettleQ Metal,2428.862319657734,22.258527367928497,1.0,synchronized full state
qaoa_ring,28,CUDA-Q NVIDIA GPU,464.77260233405104,5.267684107055831,0.19135403376818205,synchronized full state
qaoa_ring,28,PennyLane Lightning GPU,7170.031194333508,515.0236635342799,2.9520121977699754,synchronized full state
qaoa_ring,28,Qiskit Aer statevector CPU,16994.479048666635,607.1216877097736,6.996888589000562,synchronized full state
qaoa_ring,28,PennyLane Lightning CPU,69361.77914266683,784.4798354136594,28.55731203094337,synchronized full state
ghz,15,MettleQ Metal,1.3584443271004905,1.6029753198252352,1.0,synchronized full state
ghz,15,CUDA-Q NVIDIA GPU,63.84440999984994,6.798473534086022,46.99817926003755,synchronized full state
ghz,15,PennyLane Lightning GPU,6.070723333626423,0.2451144540463927,4.468879005578374,synchronized full state
ghz,15,Qiskit Aer statevector CPU,43.005588999979715,47.992695833431135,31.657969444925506,synchronized full state
ghz,15,PennyLane Lightning CPU,2.877964333492855,0.5532056730427434,2.118573633146733,synchronized full state
ghz,20,MettleQ Metal,1.7212913371622562,0.19740075939279453,1.0,synchronized full state
ghz,20,CUDA-Q NVIDIA GPU,64.85821066659507,10.19409975024346,37.679972742743935,synchronized full state
ghz,20,PennyLane Lightning GPU,10.594151999915388,1.1112440268883974,6.154769835408018,synchronized full state
ghz,20,Qiskit Aer statevector CPU,22.372800333376592,0.30659633507287715,12.997683686865402,synchronized full state
