family,qubits,depth,implementation,repeat,warmup,order_index,status,execution_ms,expectation_z0,exact_expectation_z0,exact_absolute_error,maximum_bond_dimension_reached,truncation_events,relative_discarded_weight_max,state_norm,svd_calls,svd_total_ms,routing_swaps,routing_naive_restore_swaps,accuracy_classification,error
rainbow,32,1,mettleq_cpu_routed,2,False,2,completed,500.273084,-0.08401367448509116,,,64,323,0.000429898076769837,0.999999982776133,496,263.55729399999984,480,480,threshold_exceeded,
rainbow,32,1,mettleq_cpu_restore,2,False,3,completed,705.651083,-0.0840227755173829,,,64,393,0.000806106159190095,0.9999999608365107,496,515.9637769999998,480,480,threshold_exceeded,
rainbow,32,1,qiskit_aer_cpu_mps,3,False,0,completed,3.757583,-0.0839012508451415,,,,,,,,,,,,
rainbow,32,1,mettleq_cpu_routed,3,False,1,completed,496.984417,-0.08401367448509116,,,64,323,0.000429898076769837,0.999999982776133,496,261.33616400000005,480,480,threshold_exceeded,
rainbow,32,1,mettleq_cpu_restore,3,False,2,completed,690.554833,-0.0840227755173829,,,64,393,0.000806106159190095,0.9999999608365107,496,506.405115,480,480,threshold_exceeded,
rainbow,32,1,mettleq_gpu_routed,3,False,3,completed,823.6395,-0.08400969197272669,,,64,324,0.00042989275517658036,1.0000000064407792,496,266.6406960000001,480,480,threshold_exceeded,
random_long_range,32,1,mettleq_cpu_routed,0,True,0,completed,186.537416,-0.08390261274925151,,,64,149,1.0332885470673787e-05,1.0000000315166526,250,100.44494499999998,234,288,threshold_exceeded,
random_long_range,32,1,mettleq_cpu_restore,0,True,1,completed,281.202,-0.08390299093510813,,,64,147,1.1989142987673795e-05,0.9999999851010699,304,175.26649399999997,288,288,threshold_exceeded,
random_long_range,32,1,mettleq_gpu_routed,0,True,2,completed,349.0225,-0.08390311861155507,,,64,151,1.0333198428786061e-05,1.0000000404633527,250,103.56679600000002,234,288,threshold_exceeded,
random_long_range,32,1,qiskit_aer_cpu_mps,0,True,3,completed,5.515125,-0.08390125084514068,,,,,,,,,,,,
random_long_range,32,1,mettleq_cpu_restore,1,False,0,completed,277.055333,-0.08390299093510813,,,64,147,1.1989142987673795e-05,0.9999999851010699,304,173.43078200000002,288,288,threshold_exceeded,
random_long_range,32,1,mettleq_gpu_routed,1,False,1,completed,340.830584,-0.08390311861155507,,,64,151,1.0333198428786061e-05,1.0000000404633527,250,103.579877,234,288,threshold_exceeded,
random_long_range,32,1,qiskit_aer_cpu_mps,1,False,2,completed,3.640667,-0.08390125084514068,,,,,,,,,,,,
random_long_range,32,1,mettleq_cpu_routed,1,False,3,completed,182.538416,-0.08390261274925151,,,64,149,1.0332885470673787e-05,1.0000000315166526,250,99.35232899999998,234,288,threshold_exceeded,
random_long_range,32,1,mettleq_gpu_routed,2,False,0,completed,338.045667,-0.08390311861155507,,,64,151,1.0333198428786061e-05,1.0000000404633527,250,103.97915200000001,234,288,threshold_exceeded,
random_long_range,32,1,qiskit_aer_cpu_mps,2,False,1,completed,3.475,-0.08390125084514068,,,,,,,,,,,,
random_long_range,32,1,mettleq_cpu_routed,2,False,2,completed,184.871292,-0.08390261274925151,,,64,149,1.0332885470673787e-05,1.0000000315166526,250,100.26920100000002,234,288,threshold_exceeded,
random_long_range,32,1,mettleq_cpu_restore,2,False,3,completed,278.791583,-0.08390299093510813,,,64,147,1.1989142987673795e-05,0.9999999851010699,304,173.9864459999999,288,288,threshold_exceeded,
random_long_range,32,1,qiskit_aer_cpu_mps,3,False,0,completed,3.599833,-0.08390125084514068,,,,,,,,,,,,
random_long_range,32,1,mettleq_cpu_routed,3,False,1,completed,183.296708,-0.08390261274925151,,,64,149,1.0332885470673787e-05,1.0000000315166526,250,99.84204200000002,234,288,threshold_exceeded,
random_long_range,32,1,mettleq_cpu_restore,3,False,2,completed,277.189167,-0.08390299093510813,,,64,147,1.1989142987673795e-05,0.9999999851010699,304,173.36890000000005,288,288,threshold_exceeded,
random_long_range,32,1,mettleq_gpu_routed,3,False,3,completed,351.143375,-0.08390311861155507,,,64,151,1.0333198428786061e-05,1.0000000404633527,250,103.28834200000001,234,288,threshold_exceeded,
all_to_all,20,1,mettleq_cpu_routed,0,True,0,completed,612.01525,-0.08390160404599246,-0.08390125084514166,3.5320085080281505e-07,64,137,8.573283215747105e-13,0.9999999733032509,574,344.1377840000003,384,2280,within_configured_local_thresholds,
all_to_all,20,1,mettleq_cpu_restore,0,True,1,completed,3652.21675,-0.08390395518047138,-0.08390125084514166,2.704335329714591e-06,64,1201,5.454243271108343e-13,0.9999999576161878,2470,2618.4988460000027,2280,2280,within_configured_local_thresholds,
all_to_all,20,1,mettleq_gpu_routed,0,True,2,completed,1004.963375,-0.08389981569528407,-0.08390125084514166,1.4351498575926325e-06,64,137,8.444445438771672e-13,0.9999999702088742,574,350.8167109999997,384,2280,within_configured_local_thresholds,
all_to_all,20,1,qiskit_aer_cpu_mps,0,True,3,completed,26.596625,-0.08390125094359094,-0.08390125084514166,9.84492765088163e-11,,,,,,,,,,
all_to_all,20,1,mettleq_cpu_restore,1,False,0,completed,3701.911958,-0.08390395518047138,-0.08390125084514166,2.704335329714591e-06,64,1201,5.454243271108343e-13,0.9999999576161878,2470,2647.1560129999925,2280,2280,within_configured_local_thresholds,
all_to_all,20,1,mettleq_gpu_routed,1,False,1,completed,972.447292,-0.08389981569528407,-0.08390125084514166,1.4351498575926325e-06,64,137,8.444445438771672e-13,0.9999999702088742,574,348.2464170000001,384,2280,within_configured_local_thresholds,
all_to_all,20,1,qiskit_aer_cpu_mps,1,False,2,completed,25.593416,-0.08390125094359094,-0.08390125084514166,9.84492765088163e-11,,,,,,,,,,
all_to_all,20,1,mettleq_cpu_routed,1,False,3,completed,609.702583,-0.08390160404599246,-0.08390125084514166,3.5320085080281505e-07,64,137,8.573283215747105e-13,0.9999999733032509,574,344.3205299999999,384,2280,within_configured_local_thresholds,
all_to_all,20,1,mettleq_gpu_routed,2,False,0,completed,971.959667,-0.08389981569528407,-0.08390125084514166,1.4351498575926325e-06,64,137,8.444445438771672e-13,0.9999999702088742,574,348.34398400000003,384,2280,within_configured_local_thresholds,
all_to_all,20,1,qiskit_aer_cpu_mps,2,False,1,completed,25.614125,-0.08390125094359094,-0.08390125084514166,9.84492765088163e-11,,,,,,,,,,
all_to_all,20,1,mettleq_cpu_routed,2,False,2,completed,602.907083,-0.08390160404599246,-0.08390125084514166,3.5320085080281505e-07,64,137,8.573283215747105e-13,0.9999999733032509,574,340.8049959999998,384,2280,within_configured_local_thresholds,
all_to_all,20,1,mettleq_cpu_restore,2,False,3,completed,3682.885542,-0.08390395518047138,-0.08390125084514166,2.704335329714591e-06,64,1201,5.454243271108343e-13,0.9999999576161878,2470,2637.2861090000024,2280,2280,within_configured_local_thresholds,
all_to_all,20,1,qiskit_aer_cpu_mps,3,False,0,completed,25.184,-0.08390125094359094,-0.08390125084514166,9.84492765088163e-11,,,,,,,,,,
all_to_all,20,1,mettleq_cpu_routed,3,False,1,completed,606.766708,-0.08390160404599246,-0.08390125084514166,3.5320085080281505e-07,64,137,8.573283215747105e-13,0.9999999733032509,574,342.0516200000001,384,2280,within_configured_local_thresholds,
all_to_all,20,1,mettleq_cpu_restore,3,False,2,completed,3646.502959,-0.08390395518047138,-0.08390125084514166,2.704335329714591e-06,64,1201,5.454243271108343e-13,0.9999999576161878,2470,2616.557200000002,2280,2280,within_configured_local_thresholds,
all_to_all,20,1,mettleq_gpu_routed,3,False,3,completed,1181.219917,-0.08389981569528407,-0.08390125084514166,1.4351498575926325e-06,64,137,8.444445438771672e-13,0.9999999702088742,574,362.56974499999995,384,2280,within_configured_local_thresholds,
